Node1,Node2,Effet
Clients,Business as usual,+
Business as usual,Usage,+
Usage,Applications,+
Applications,Infrastructures,+
Infrastructures,Energie,+
Infrastructures,Matériaux,+
Energie,Coût,+
Matériaux,Coût,+
Matériaux,Déchets,+
Coût,Clients,-
Efficacité,Infrastructures,-
Efficacité,Applications,-
Business as usual,Algorithmes addictifs,+
Algorithmes addictifs,Clients,+
Algorithmes addictifs,Usage,+
Sobriété,Usage,-
Sobriété,Algorithmes addictifs,-
Business within planetary limits,Sobriété,+
Clients,Business within planetary limits,+
Business as usual,Efficacité,+
